,hour,day,month,source,destination,cab_type,name,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,short_summary,long_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,icon,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
latitude,,,,,,,,,,,1,0.531443307,0.098908705,0.067427333,0.099723635,0.002318487,0.074305735,0.071330968,0.117721136,0.097125376,0.024345756,0.172786374,0.124285886,0.115623359,0.173856588,0.032004932,0.171345283,0.0924587,0.173453827,0.002187177,0.172723683,0.084054499,0.130575515,0.149322777,0.032466733,0.064559925,0.010338833,0.124285886,0.063349572,0.171872604,0.171850901,0.199608052,0.047306546,0.171975524,0.114436914,0.169740429,0.109271209,0.175335634,0.096326677,0.171069293,0.08289399,0.173359102
longitude,,,,,,,,,,,,1,0.012402005,0.005897431,0.095978404,0.034654593,0.130794326,0.122211809,0.090730515,0.092773377,0.006145226,0.137019992,0.097102089,0.007681709,0.136469316,0.077802019,0.13590753,0.001465292,0.13612075,0.018957769,0.137076007,0.108628175,0.056269169,0.08584913,0.034432998,0.073641534,0.009943341,0.097102089,0.022412081,0.136394762,0.136377227,0.104754973,0.030330012,0.13662026,0.048836446,0.140275447,0.007029059,0.136948651,0.010130715,0.140399496,0.022604891,0.1355252
temperature,,,,,,,,,,,,,1,0.946156553,0.243806903,0.09494893,0.182673012,0.239188589,0.313812505,0.058845615,0.008774678,0.248254351,0.324158135,0.788564453,0.257456749,0.502192984,0.254571752,0.71038558,0.258894848,0.382827667,0.253780364,0.144674123,0.863992407,0.33937804,0.244165598,0.35504943,0.158550954,0.324158135,0.291208908,0.25527745,0.255278824,0.345560377,0.333160204,0.254755131,0.789220325,0.242992587,0.780426317,0.254171793,0.817442861,0.231811088,0.703078171,0.255577958
apparentTemperature,,,,,,,,,,,,,,1,0.190808985,0.102082577,0.098345775,0.158877459,0.356485391,0.244322774,0.287227192,0.223840209,0.299336761,0.821491865,0.233332642,0.573984507,0.2339097,0.811624413,0.234167753,0.495844302,0.231582852,0.071861482,0.849734994,0.134655716,0.293641771,0.294788573,0.138610808,0.299336761,0.462400979,0.231882175,0.231902026,0.324501873,0.25712844,0.231525792,0.697342668,0.224969914,0.792475539,0.227929949,0.786477954,0.212680605,0.782255176,0.228891131
short_summary,,,,,,,,,,,,,,,1,0.093190271,0.189257784,0.074015579,0.091112228,0.181194267,0.158580066,0.051563936,0.059609422,0.097624194,0.057983848,0.196368272,0.060536327,0.065915294,0.059202963,0.121525526,0.060976019,0.450083575,0.221152677,0.147157782,0.096913787,0.432043577,0.004859352,0.059609422,0.095855566,0.058612475,0.058594322,0.032763014,0.145194536,0.058335691,0.208840381,0.061234819,0.099237149,0.057932637,0.175932637,0.055002974,0.066180384,0.059061295
long_summary,,,,,,,,,,,,,,,,1,0.20932593,0.163354219,0.047650521,0.041134169,0.009813338,0.12816659,0.053567053,0.238474558,0.109689822,0.222472088,0.105732081,0.252538876,0.108141715,0.193974634,0.107207714,0.010675212,0.039061348,0.324445306,0.419850559,0.064814787,0.06188331,0.053567053,0.025813176,0.106910879,0.106936617,0.370643524,0.343217977,0.107328156,0.046529992,0.09389314,0.25712998,0.111333152,0.032728736,0.116066986,0.284606756,0.108729299
precipIntensity,,,,,,,,,,,,,,,,,1,0.838416911,0.417526119,0.307171216,0.197778391,0.175151003,0.600613286,0.119133669,0.182051715,0.23190427,0.181551458,0.114582314,0.183184023,0.183193298,0.180470931,0.456606235,0.338694373,0.143495106,0.433184542,0.288915104,0.09914751,0.600613286,0.222201246,0.180818707,0.180797712,0.077793031,0.498344233,0.180105093,0.236617643,0.182130059,0.114033969,0.181971687,0.224728135,0.170319673,0.108916507,0.182989442
precipProbability,,,,,,,,,,,,,,,,,,1,0.548854774,0.251854259,0.127322032,0.143009942,0.76143842,0.147951077,0.146383919,0.246408519,0.145510608,0.142688944,0.147698097,0.186819681,0.143997969,0.557514373,0.445318107,0.179354779,0.469846535,0.387142115,0.071207227,0.76143842,0.23510027,0.145268888,0.145247532,0.084452466,0.582882543,0.144386379,0.274351494,0.147746695,0.142088232,0.146302682,0.263233699,0.135722721,0.136402618,0.147215461
humidity,,,,,,,,,,,,,,,,,,,1,0.207120689,0.306423694,0.158724693,0.697859711,0.429810617,0.161427478,0.471614414,0.164479794,0.451101504,0.162341957,0.357065791,0.161367883,0.207300644,0.747305258,0.134010231,0.356531971,0.48019621,0.208096028,0.697859711,0.425873687,0.160920964,0.160909862,0.146794466,0.519783492,0.160109041,0.461536309,0.167570599,0.394680925,0.158000853,0.512079981,0.152521437,0.410284965,0.158142001
windSpeed,,,,,,,,,,,,,,,,,,,,1,0.937649243,0.071112871,0.035550302,0.188792538,0.071355641,0.286539679,0.060273499,0.378796326,0.0729604,0.384451367,0.065127934,0.241985195,0.074816448,0.574572604,0.113264378,0.159671161,0.067389422,0.035550302,0.544870533,0.068571507,0.068515683,0.041198351,0.212358881,0.068176015,0.174180554,0.051533277,0.120539727,0.078560574,0.019856943,0.056577248,0.304330588,0.079719216
windGust,,,,,,,,,,,,,,,,,,,,,1,0.000351061,0.03889821,0.230810008,0.002114754,0.341706157,0.012745488,0.416501861,0.000824799,0.403827078,0.00749862,0.166775051,0.175291635,0.513851212,0.168536316,0.104673157,0.089758199,0.03889821,0.585006347,0.004555806,0.004604867,0.005271041,0.100314986,0.004859951,0.081460075,0.023536532,0.144427687,0.005917931,0.116489738,0.014031611,0.316142284,0.007186343
